Apparel & Accessories_hashtag,Apparel & Accessories_rank_today,Apparel & Accessories_rank_prev_state,Apparel & Accessories_rank_delta,Appliances_hashtag,Appliances_rank_today,Appliances_rank_prev_state,Appliances_rank_delta,Apps_hashtag,Apps_rank_today,Apps_rank_prev_state,Apps_rank_delta,"Baby, Kids & Maternity_hashtag","Baby, Kids & Maternity_rank_today","Baby, Kids & Maternity_rank_prev_state","Baby, Kids & Maternity_rank_delta",Beauty & Personal Care_hashtag,Beauty & Personal Care_rank_today,Beauty & Personal Care_rank_prev_state,Beauty & Personal Care_rank_delta,Business Services_hashtag,Business Services_rank_today,Business Services_rank_prev_state,Business Services_rank_delta,E-Commerce (Non-app)_hashtag,E-Commerce (Non-app)_rank_today,E-Commerce (Non-app)_rank_prev_state,E-Commerce (Non-app)_rank_delta,Education_hashtag,Education_rank_today,Education_rank_prev_state,Education_rank_delta,Financial Services_hashtag,Financial Services_rank_today,Financial Services_rank_prev_state,Financial Services_rank_delta,Food & Beverage_hashtag,Food & Beverage_rank_today,Food & Beverage_rank_prev_state,Food & Beverage_rank_delta,Games_hashtag,Games_rank_today,Games_rank_prev_state,Games_rank_delta,Health_hashtag,Health_rank_today,Health_rank_prev_state,Health_rank_delta,Home Improvement_hashtag,Home Improvement_rank_today,Home Improvement_rank_prev_state,Home Improvement_rank_delta
suitcase,311,360,49,vacuum,3,3,0,earn extra money,424,472,48,,,,,hygieneproducts,396,453,57,20 % off,153,161,8,shop the collection,157,174,17,online hs diploma,35,35,0,free consultation,79,85,6,good deal,73,77,4,install and play,337,369,32,listen up,218,244,26,game changer,95,104,9
buy 2 get 2 free,290,338,48,camera,4,4,0,free 3,425,473,48,,,,,tubing mascara,354,410,56,try free,164,172,8,best sellers,159,176,17,product marketing,11,10,-1,pay off,80,86,6,energydrinks,74,78,4,tap to spin your luck,345,377,32,missing teeth,110,135,25,professional painting services,15,22,7
shapeweargirl,341,389,48,juicer,6,6,0,transform your home,419,466,47,,,,,shampoo and conditioner,353,407,54,your house,166,174,8,discover new,76,92,16,earn your degree,12,11,-1,in cash,81,87,6,sour candy,76,80,4,join now,271,302,31,glp-1 meds,123,148,25,sleep brand everyone's talking about,54,61,7
wireless bra,342,390,48,your home,24,24,0,pregnancy tracker app,422,469,47,,,,,deal ends tonight,327,379,52,sell your house,168,176,8,buy now,99,115,16,help you,15,14,-1,get free,85,91,6,right now,35,38,3,racing game,277,308,31,free services,103,127,24,seniors,65,72,7
good deal,374,421,47,right now,22,21,-1,clean your inbox for free,430,477,47,,,,,vitamin c serum,333,385,52,100 % free,37,44,7,35% off,127,143,16,learna ai,10,8,-2,financial freedom,86,92,6,chocolate,12,14,2,super satisfying game,279,310,31,swipe left to learn more,126,150,24,bathrooms,66,73,7
don’t miss,119,165,46,air purifier,38,37,-1,find amazing local deals now,431,478,47,,,,,hair growth serum,329,380,51,apply today,38,45,7,for 20% off,128,144,16,starts here,23,21,-2,per month,87,93,6,limited time,17,19,2,best game,316,347,31,blue tube,134,158,24,great deal,35,41,6
size m,320,366,46,free shipping,11,9,-2,تعال والدردشة,304,349,45,,,,,glueless wig,178,228,50,fast and easy,51,58,7,straight to your door,129,145,16,your children,34,32,-2,check your eligibility today,88,94,6,off your first order,18,20,2,playing now,319,350,31,hemorrhoids problems,135,159,24,fast shipping,56,62,6
wide-leg jeans,281,326,45,massager,15,13,-2,وحيد؟,305,350,45,,,,,lace wig,274,324,50,explore excavator operators near me,55,62,7,"buy 2, get 1",132,148,16,financial aid,29,26,-3,drivers,96,102,6,hot honey,24,26,2,at work,336,367,31,collagenpeptides,158,182,24,changed my skin,26,31,5
65k men,282,327,45,digitalcamera,13,10,-3,for free now,384,429,45,,,,,setting powder,321,371,50,right now,64,71,7,make it,133,149,16,ai tutor,8,4,-4,credit types,106,112,6,that's it,33,35,2,chase your dreams,358,389,31,neocell collagen,159,183,24,luxury bedding,30,35,5
buy 3,306,351,45,hair dryer,19,16,-3,online pregnancy test,429,474,45,,,,,hair dye,332,382,50,join our,152,159,7,every time,135,151,16,learn spanish,31,27,-4,build credit,108,114,6,always free,34,36,2,chase your dreams together,359,390,31,in turkey,160,184,24,40% off,10,14,4
refresh your look,253,297,44,curling iron,28,25,-3,free now,250,294,44,,,,,silky smooth,323,372,49,house painting service,170,177,7,your home,138,154,16,sign up,19,13,-6,save big,28,33,5,neuro gum,37,39,2,defense game,376,407,31,wake up,161,185,24,limited time,16,20,4
link in bio,255,299,44,neckmassager,33,30,-3,each week,302,346,44,,,,,transform your skin,351,400,49,senior apartments,171,178,7,exclusive deals,139,155,16,your child,25,19,-6,no credit check,29,34,5,dubai chocolate,66,68,2,ready to conquer,428,459,31,take your,162,186,24,adjustable bed,51,55,4
1 get 1 free,175,218,43,amazing deal,21,17,-4,one click,236,279,43,,,,,grab the bundle,277,325,48,professional painting services,43,49,6,for men,52,67,15,for free,32,,,credit cards,46,51,5,meal prep,16,17,1,level up your parkour skills,283,313,30,more energy,178,202,24,transform your space,59,63,4
buy 1 get 1,176,219,43,christmas,35,31,-4,meet new people,372,415,43,,,,,scrub set,279,327,48,swipe left,75,81,6,christmas,53,68,15,,,,,19 a month,76,81,5,dubai,21,22,1,download now and play,321,351,30,actually works,216,240,24,coffee table,64,68,4
cap,252,295,43,speakers,46,42,-4,100 % free,383,426,43,,,,,fabletics scrubs,309,357,48,ads manager,81,87,6,for 20,71,86,15,,,,,save up to 90%,77,82,5,get 50%,23,24,1,join us,375,405,30,for summer,80,103,23,for neck comfort,70,74,4
built to last,287,330,43,drone,10,5,-5,chat rooms,213,255,42,,,,,click to,138,185,47,roofing industry,100,106,6,free gift today,78,93,15,,,,,get your,78,83,5,order now,27,28,1,can you pass,378,408,30,mental health,106,129,23,miss out,72,76,4
fabric,305,347,42,mini,23,18,-5,pay off,370,412,42,,,,,for your skin,268,315,47,new home,114,120,6,limited stock,131,146,15,,,,,get your free,110,115,5,try it,30,31,1,must be,379,409,30,now available,131,154,23,don’t miss out,73,77,4
save big,224,265,41,air fryer,37,32,-5,online for free,455,497,42,,,,,free returns,271,318,47,apartment rental,49,54,5,limited time offer,112,126,14,,,,,home loans,111,116,5,teasathome,36,37,1,real life,380,410,30,reach out,102,123,21,transform your home,74,78,4
these jeans,268,309,41,coffee maker,43,38,-5,join blk,456,498,42,,,,,curly wig,283,330,47,schedule a tour today,50,55,5,new collection,70,83,13,,,,,your free smartphone,121,126,5,peanut butter,43,44,1,casual and easy mahjong game,381,411,30,game changer,120,139,19,grab it,102,106,4
game changer,261,300,39,this black friday,29,23,-6,make music,279,320,41,,,,,at-home,291,338,47,resume builder,71,76,5,miss this,82,95,13,,,,,pet insurance,41,45,4,stock up,54,55,1,best simulation game,385,415,30,it works,121,140,19,check it out,110,114,4
exclusive offer,265,304,39,bluetoothspeaker,16,8,-8,my sister,280,321,41,,,,,oily skin,301,348,47,click to get,80,85,5,the end,86,99,13,,,,,for car,42,46,4,love it,65,66,1,play the sweetest game,409,439,30,sea moss,138,157,19,shower filter,13,16,3
push up,272,311,39,hairtools,31,20,-11,discover who’s live tonight,379,420,41,,,,,limited edition,312,359,47,start your business,84,89,5,join us,87,100,13,,,,,for car insurance,43,47,4,protein coffee,1,1,0,the right,439,469,30,discover how,144,163,19,purple,27,30,3
smart lenses,356,395,39,diffuser,44,33,-11,need quick cash,381,422,41,,,,,the end,345,392,47,next level,102,107,5,high-quality,51,63,12,,,,,life insurance,45,49,4,tea,2,2,0,dive in,442,472,30,clean nutra,231,250,19,mattresses,33,36,3
buy 1,78,116,38,buy now,7,,,bad boy,450,491,41,,,,,scalp serum,133,179,46,the next level,103,108,5,don’t wait,107,119,12,,,,,qualify today,48,52,4,coffee,3,3,0,win cash,443,473,30,holiday sale is live,75,93,18,wake up,37,40,3
your love,296,334,38,,,,,useful app,452,493,41,,,,,girl,259,305,46,get a free,111,116,5,time offer,111,123,12,,,,,take advantage,74,78,4,fish and chips,4,4,0,cash rewards,447,477,30,now for free,76,94,18,up to 50% off,55,58,3
30% off,143,180,37,,,,,come and take a look,454,495,41,,,,,save up to 56%,282,328,46,earn money,125,130,5,your door,48,59,11,,,,,us drivers,93,97,4,candy,5,5,0,build your own,225,254,29,the end,119,137,18,shower head,88,91,3
discover now,231,267,36,,,,,caller id app,354,394,40,,,,,100% money,285,331,46,bedroom apartments,126,131,5,discover more,49,60,11,,,,,click the link,94,98,4,50 %off,6,6,0,are you ready,259,288,29,don’t miss out,149,165,16,elevate your space,94,97,3
wear this,360,396,36,,,,,design your dream,356,396,40,,,,,eye patches,303,349,46,swipe left to learn,148,153,5,grab yours,55,66,11,,,,,free quote,113,117,4,free shipping,7,7,0,try one,266,295,29,posture corrector,156,172,16,new favorite,96,99,3
it now,173,208,35,,,,,design your dream home,359,399,40,,,,,give it,318,364,46,dishwasher services,149,154,5,hair care,65,76,11,,,,,pay off credit cards faster,114,118,4,cookie,8,8,0,satisfying game,302,331,29,call us,83,98,15,blackout curtains,97,100,3
aiglasses,353,388,35,,,,,interior designer,363,403,40,,,,,i’m so impressed,320,366,46,start investing,44,48,4,2 free,95,106,11,,,,,get relief,119,123,4,get 50% off,9,9,0,watch me,303,332,29,call us today,84,99,15,off sitewide,104,107,3
high quality,149,183,34,,,,,watch this,440,480,40,,,,,check out,258,303,45,start dashing today,70,74,4,shopblackfriday,96,107,11,,,,,this ramadan,52,55,3,zero sugar,13,13,0,can you connect them all,308,337,29,100% online,89,104,15,security camera,105,108,3
every moment,156,190,34,,,,,get cashback,284,323,39,,,,,conditioner,299,344,45,for eligible tenants,86,90,4,join our,62,72,10,,,,,debit card,67,70,3,use code,25,25,0,hardcore game,311,340,29,register now,90,105,15,carpet,106,109,3
easy returns,168,202,34,,,,,meet girls online,361,400,39,,,,,5 star rated sweat care,256,300,44,take the quiz today,119,123,4,now live,63,73,10,,,,,americans,71,74,3,snacks,47,47,0,explore free games,328,357,29,winter,94,109,15,beddingsets,107,110,3
10 new years clearance,171,205,34,,,,,find the best,445,484,39,,,,,sweat care,257,301,44,click the link,121,125,4,refresh your wardrobe,64,74,10,,,,,unique opportunity,72,75,3,health tea,22,21,-1,stress reliever,384,413,29,over40 #over50,153,168,15,modular sofa,117,120,3
gear up,193,227,34,,,,,crypto exchange,287,325,38,,,,,more confident,297,341,44,tap below,122,126,4,clearance sale,46,55,9,,,,,insurance quotes,92,95,3,variety pack,58,57,-1,real money can be won,393,422,29,register now for free,68,82,14,barstool,118,121,3
for the girls,365,399,34,,,,,sketch on paper,288,326,38,,,,,orange cart,298,342,44,try it now,123,127,4,get yours,80,89,9,,,,,car loans,128,131,3,start your day,20,18,-2,get 30 billion diamonds,394,423,29,sale is live,72,86,14,pillowcase,120,123,3
for everyday wear,246,279,33,,,,,shop now,294,332,38,,,,,i love it,206,249,43,act now,124,128,4,watch until the end,118,127,9,,,,,see if you qualify today,129,132,3,great deal,29,27,-2,who can beat her score,406,435,29,link in bio,104,118,14,brand new,62,64,2
lace,367,400,33,,,,,descarga la app,296,334,38,,,,,every time,202,244,42,at home,129,133,4,your summer,74,82,8,,,,,learn more,13,15,2,made easy,31,29,-2,1 mahjong game,407,436,29,blood pressure,105,119,14,beanbagchair,91,93,2
the right,179,211,32,,,,,ar draw,315,353,38,,,,,1 free,204,246,42,for your business,130,134,4,cute,88,96,8,,,,,get up,33,35,2,check the,32,30,-2,dive in and chase victory,446,475,29,hear clearly without the hassle,114,128,14,50% off,3,4,1
get it,180,212,32,,,,,create your own avatar,316,354,38,,,,,hairbrush,216,258,42,no experience,136,140,4,mask,35,42,7,,,,,click to learn more,34,36,2,clears morning grogginess,14,10,-4,try to survive,305,333,28,weight loss journey,152,166,14,your home,9,10,1
sold out,223,255,32,,,,,zero fees,318,356,38,,,,,drleodryinglotion,218,260,42,get 20%,137,141,4,catch this live,37,44,7,,,,,stop overpaying,35,37,2,gummy,15,11,-4,world awaits your hunt,306,334,28,for kids,164,178,14,bed frame,11,12,1
don’t miss out,222,253,31,,,,,before growing your hair,319,357,38,,,,,discount sale,245,287,42,paint by number,139,143,4,lose track,38,45,7,,,,,refinance your home,38,40,2,electrolytes,28,23,-5,free tile game,310,338,28,over 30,179,193,14,right now,18,19,1
great deal,146,176,30,,,,,find love your way,341,379,38,,,,,natural looking,246,288,42,paint by number sets,140,144,4,link in bio,58,65,7,,,,,check eligibility,51,53,2,try now,45,40,-5,master the traffic flow,314,342,28,check out,223,237,14,lights,23,24,1
go check it,170,200,30,,,,,meet people near you live,342,380,38,,,,,this deal,239,280,41,for cash,147,151,4,jean,83,90,7,,,,,find out,54,56,2,gummies,19,12,-7,rule the city streets,315,343,28,holiday sale,67,80,13,mattresspad,24,25,1
grab yours now,206,236,30,,,,,racing games,343,381,38,,,,,best selling,241,282,41,legal consultation services,26,29,3,jeans,84,91,7,,,,,your free,58,60,2,help you,50,43,-7,amazing game,397,425,28,the top,174,187,13,mattress topper,45,46,1
chain,216,246,30,,,,,never miss,345,383,38,,,,,see why,236,276,40,tour today,34,37,3,this week,123,130,7,,,,,donate now,132,134,2,current price,68,59,-9,come back,398,426,28,kids,175,188,13,real life,58,59,1
go check,166,195,29,,,,,social app,264,301,37,,,,,half wig,198,237,39,link in bio,48,51,3,gear up,124,131,7,,,,,rated bbb,1,2,1,check the product,61,51,-10,fun to play,399,427,28,boost energy,226,239,13,tool set,86,87,1
stickybra,214,243,29,,,,,real life,347,384,37,,,,,full-size,227,266,39,apartments,54,57,3,get paid,125,132,7,,,,,for free,7,8,1,check the product page,52,41,-11,helps you,400,428,28,learn more on our site,186,197,11,don’t miss,101,102,1
off sitewide,233,262,29,,,,,your love,148,184,36,,,,,hair regrowth,231,269,38,sign up,56,59,3,yours today,126,133,7,,,,,get results,8,9,1,protein smoothie,60,48,-12,great mind relaxer,404,432,28,lose weight,39,49,10,free shipping,1,1,0
this winter,257,286,29,,,,,get high,266,302,36,,,,,back in stock,135,168,33,it now,133,136,3,flash sale,41,47,6,,,,,your home,11,12,1,amazing deal,48,34,-14,experience free,288,315,27,get all,62,72,10,mattress,2,2,0
4-pack,308,337,29,,,,,call me,278,314,36,,,,,off your first order,170,203,33,the top,135,138,3,this season,102,108,6,,,,,boost your credit,12,13,1,teas,62,42,-20,stride toward dreams as one,325,352,27,nitric oxide,79,89,10,shop now,5,5,0
use code,85,113,28,,,,,up now,292,328,36,,,,,clusterlashes,131,163,32,your business,7,9,2,heritage british styles,19,24,5,,,,,need cash,19,20,1,swedish candy,75,50,-25,your reward,403,430,27,see if you,132,142,10,sofa,6,6,0
stylish prescription glasses,178,206,28,,,,,online ai chat,322,358,36,,,,,natural deodorant,132,164,32,professional delivery services,14,16,2,shop until you drop,21,26,5,,,,,emergency loan,23,24,1,for dinner,72,46,-26,win real cash rewards,451,478,27,dental implant clinics,41,50,9,bed,7,7,0
wide-leg,196,224,28,,,,,transform your screen,339,375,36,,,,,thicker hair,144,176,32,your free,33,35,2,join our livestream now,29,34,5,,,,,"5,000 same day loans",24,25,1,probiotics,67,32,-35,accept the challenge,452,479,27,your door,45,54,9,save up to 66%,8,8,0
only $3.99,229,257,28,,,,,scan it,351,387,36,,,,,one size,145,177,32,contact us,36,38,2,made easy,136,141,5,,,,,5000 cash,25,26,1,protein bar,26,,,tame him,257,283,26,for free services,49,58,9,rugs,21,21,0
sold out soon,137,164,27,,,,,fake call app,270,305,35,,,,,learn more,150,182,32,free case,94,96,2,so cute,158,163,5,,,,,bad credit,27,28,1,,,,,strategy gameplay,290,316,26,reach out for free services,50,59,9,living room,28,28,0
progressive lenses,161,188,27,,,,,dating in your town,325,360,35,,,,,glowing skin,166,198,32,start your free,107,109,2,don’t miss,26,30,4,,,,,sign up,37,38,1,,,,,try your daily heist,296,322,26,ed pill,56,65,9,bath filter,43,43,0
live now,199,226,27,,,,,choose your,328,362,34,,,,,smooth skin,168,200,32,30% off,108,110,2,bag,36,40,4,,,,,own your home,40,41,1,,,,,best simulation game of 2025,454,480,26,get your,57,66,9,check out,44,44,0
lowest price,274,301,27,,,,,tap in,330,364,34,,,,,your first order,169,201,32,in dubai,116,118,2,first order,42,46,4,,,,,39/month,57,58,1,,,,,"claim 30,000,000 free coins",456,481,25,30% off,70,79,9,posters,50,50,0
high-waist leggings,153,179,26,,,,,your free trial today,332,366,34,,,,,for mature skin,143,174,31,link in our bio,143,145,2,stock up,28,31,3,,,,,save up to 25%,65,66,1,,,,,be the best banker,166,190,24,magnesium complex,82,91,9,are here,53,53,0
find the,163,189,26,,,,,buy and sell,336,370,34,,,,,first order,156,186,30,our website,144,146,2,off white,32,35,3,,,,,click the,66,67,1,,,,,can you last 15 minutes,459,483,24,click to,99,108,9,blanket,4,3,-1
every single,388,414,26,,,,,for metalheads,109,141,32,,,,,this men,88,117,29,use code,145,147,2,miss out,33,36,3,,,,,try it,83,84,1,,,,,right now,221,244,23,lungdetox,220,229,9,camera,12,11,-1
get you one,393,419,26,,,,,create your own,203,235,32,,,,,age spots,175,204,29,tiktok promote,6,7,1,shop before it’s gone,40,43,3,,,,,apply now,3,3,0,,,,,click to receive,461,484,23,weight loss,20,28,8,comforter,19,18,-1
every color,185,210,25,,,,,your home,204,236,32,,,,,thinning spots,359,388,29,24 hours,9,10,1,spring,61,64,3,,,,,try this,4,4,0,,,,,life-saving technology,464,486,22,glp-1,31,39,8,20 % off,34,33,-1
try it,132,156,24,,,,,is free,80,111,31,,,,,tranexamic acid,358,386,28,cleaning jobs,11,12,1,my code,77,80,3,,,,,get results instantly,5,5,0,,,,,run a shop,466,487,21,from home,60,68,8,chainsaw,40,39,-1
in style,189,213,24,,,,,download and watch,212,243,31,,,,,starts here,363,391,28,quick & easy,12,13,1,buy 2,98,101,3,,,,,offer expires today,6,6,0,,,,,come join,479,500,21,shipped right to your door,73,81,8,ergonomicchair,48,47,-1
wallets,244,268,24,,,,,check it,260,291,31,,,,,new obsession,123,150,27,video views,13,14,1,get yours today,156,159,3,,,,,credit check,10,10,0,,,,,piano game,158,178,20,herbal extracts,118,126,8,for real,49,48,-1
18% off,99,122,23,,,,,call app,242,272,30,,,,,tap the,205,231,26,learn more about,22,23,1,50 %off,6,8,2,,,,,get approved,16,16,0,,,,,this piano game totally pops,159,179,20,good deal,125,133,8,office chair,39,37,-2
starts here,192,215,23,,,,,fake call,243,273,30,,,,,miss this,367,393,26,grow your business,24,25,1,best-selling,18,20,2,,,,,your car,17,17,0,,,,,best burger chef in town,177,197,20,the right,128,136,8,washable rugs,47,45,-2
grab it now,86,108,22,,,,,learn how,252,282,30,,,,,35% off,368,394,26,promote your content,27,28,1,watch it live,25,27,2,,,,,most americans,18,18,0,,,,,start your floral journey,468,488,20,blood sugar complex,154,162,8,rug,20,17,-3
one get one free,147,169,22,,,,,learn how to,253,283,30,,,,,every single,187,212,25,click to,29,30,1,off your first order,56,58,2,,,,,auto insurance,21,21,0,,,,,build your empire,478,498,20,take control of your,192,200,8,flash sale,57,54,-3
built in,250,272,22,,,,,free trial today,165,194,29,,,,,i’m obsessed,188,213,25,schedule a tour,31,32,1,1 free,59,61,2,,,,,insurance,22,22,0,,,,,color the way you are,182,201,19,personalised trauma plan,211,219,8,mattressinabox,63,60,-3
one free,139,160,21,,,,,15% off,241,270,29,,,,,sold out,189,214,25,the right,35,36,1,70%off,73,75,2,,,,,need cash fast,31,31,0,,,,,win the game,243,262,19,consult your doctor,219,227,8,day sale,17,13,-4
i’m obsessed,295,316,21,,,,,real connections,245,274,29,,,,,giftsforher,352,377,25,5 minutes,46,47,1,check out,79,81,2,,,,,loan options,61,61,0,,,,,can you figure it out,245,264,19,full size,28,35,7,winter,36,32,-4
jeansoutfit,302,323,21,,,,,claim $100,247,276,29,,,,,eau de parfum,196,220,24,your home,63,64,1,now available,92,94,2,,,,,get a free,63,63,0,,,,,your jackpot awaits,470,489,19,micro ingredients,35,42,7,amazing deal,38,34,-4
24 hours flash sale,68,88,20,,,,,caller id,168,196,28,,,,,great deal today only,197,221,24,learn more,1,1,0,buy 1 get 1 free,100,102,2,,,,,car insurance,2,1,-1,,,,,вefend against hordes of enemies,471,490,19,get it,191,198,7,sofabed,42,38,-4
